tag,tweet
1,তোর মতো কুকুরেরা গলা উঁচু করে তলা দিয়ে কথা বলে।শুধু নুসরাত না এই ৪/৫মাসে যে সমস্ত অপকর্ম গঠলো সবই পাকিস্তানি হানাদারের জম্মের ফসল জারজ কুকুর লীগ তোদের মা কুত্তী যদি একটারও বিচার করতো তাহলে বার বার কুত্তা লীগের জম্ম হতো না pic.twitter.com/GKNPmrP0H4
0,"আঙ্গুলে ব্যথা, ঘাড়ে বাশ, পিছনে লেলি কুত্তা --- সামনে আশ্চর্য কিছু পেয়ে যাবার অভিলাষ!! #twitter now a days https:// twitter.com/Glimpse_MH/sta tus/1116750971454087168 …"
1,এদের মতো কুত্তা মার্কা ক্যারেক্টর দের কে রাস্তায় পেলায়া মারা দরকার
1,"একমত ঠিক মেয়েরা ও যদি অধ্ধউলঙ্গ পোশাক পরে রোডে বের হয় যা দেখে ছেলেদের অটোমেটিক শরীর গরম হয়ে যায়।সে মেয়ে দের কুত্তা লাগিয়ে দিয়ে শরীরের ছোট পোশাক গুলো খুলে নেওয়া উচিত,তাহলেই মেয়েরা শালিনতাবোধ বজায় রেখে বাইরে বের হবে।ধর্ষন ও কমে যাবে। https:// twitter.com/LimaAkt0511007 3/status/1116426436972371969 …"
0,"বেঈমান,স্বার্থপর, কুত্তা ,বোকা,খারাপ,পঁচা,শয়তান, বান্দর,বিলাই,পৃথিবীর যতো বকাঝকা আছে আমি উৎসর্গ করলাম তাকে উল্টা পাল্টা কেউ কমেন্ট করলে গাইরা হালামু"
1,"দেশের পুরুষ গুলো (সবাইকে উদ্দেশ্য করে লিখিনি) পাগলা কুত্তা হয়ে গেছে মনে হচ্ছে। আজ সারা দিনে ধর্ষনের নতুন চারটা ঘটনা পড়লাম। মেয়ে শিশু, ছেলে শিশু, গৃহবধূ বাদ যায়নি অটিস্টিক শিশুটিও। ছি.. ছি.. ছি... থুতু তোদের মতো মানুষ নামের পশুদের মুখে।"
1,"কুত্তা অধ্যক্ষ সহ সকল নরপিচাসকে আগুনে পুরিয়ে মারা উচিত, যাতে বুঝে আগুনের কি যন্ত্রনা... https:// twitter.com/thedailyinqila b/status/1116361791007862785 …"
1,"কুত্তা অধ্যক্ষ সহ সকল নরপিচাসকে আগুনে পুরিয়ে মারা উচিত, যাতে বুঝে আগুনের কি যন্ত্রনা... https:// twitter.com/samakaltw/stat us/1116583412876267522 …"
1,"কুত্তা অধ্যক্ষ সহ সকল নরপিচাসকে আগুনে পুরিয়ে মারা উচিত, যাতে বুঝে আগুনের কি যন্ত্রনা... https:// twitter.com/samakaltw/stat us/1116422895255740416 …"
0,14th April = ১লা বৈশাখ  আজ বাংলা কতো তারিখ?! মাঝে মধ্যে কইতে মন চায়  ইংলিশের কুত্তা বাংলায় ঘেউ সারা বছর দিন-রাত ইংরেজী ক্যালেন্ডার কিন্তু ১৪ এপ্রিল আসলেই বাঙ্গালিয়ানা...
0,"কুত্তা বিস্কিট খাইছে ও ভয় পাইছে হায় রে এগুলা ও পোস্ট হওয়া লাগে মিডিয়া চান্স পাইলে এটা ও দেখাইতো যে ওরা কোথায় খায়,ঘুমায় ইভেন টিয়লেট কই করে। https://www. priyo.com/articles/20190 412353582 …"
0,"""গায়ে আগুন ধরিয়ে দিবেন না"" টিশার্ট বানালে মেয়েগুলাকে এবার কিভাবে ট্রল করবা? কি কুত্তা সমাজের কুত্তারা রেডি হউ আবার প্রতিবাদ করতে হবে তোমাদের।"
0,পাগলা কুত্তা থুক্কু পাগলা প্রেমিকা হইতে সাবধান pic.twitter.com/0bgPz5bsE2
1,ধমের নামে লেবাস কুত্তা জানয়ার গুলা। ফেরাউন কেও হার মানাই।
0,আল্লাহ যদি কুত্তা মারার চাকরিটা আমাকে দিয়ে দিত..
1,টয়লেট /গু খাওয়া কুকুর/ কুত্তা গু/টয়লেট ছাড়া থাকতে পারে না তেমনি দুর্নীতি বাজ ঘুসখোর তাই যতই সুযোগ পাক। বাংকাঙ্গাল
0,"কুত্তা অধ্যক্ষ সহ সকল নরপিচাসকে আগুনে পুরিয়ে মারা উচিত, যাতে বুঝে আগুনের কি যন্ত্রনা... https:// twitter.com/samakaltw/stat us/1115860934029918209 …"
1,"ডিয়ার প্রাক্তন, আপনাকে চাবুক মেরে বস্তায় ঢুকিয়ে তার মধ্যে কিছু সাপ, কুত্তা ,বান্দর দিয়ে নদীর মধ্যে ফেলে দিলে বেটার ফিল করতাম #ARL"
0,কুত্তা ধাবড়ানি দিলে কি করবেন ?? দেখে নিন :P https://www. facebook.com/mcdc2017/video s/262796371339051/ …
0,আই কুত্তা র বাচ্চারা কারা
1,তুই জহন এমন রুগী হবি তর চেহারা কুত্তা র মতো হবে তহন মানুষ তকে বলবে কুত্তা বানু।
0,আজকে কুত্তা আমার ভাই। ভাইয়ের মত ভিজতে ভিজতে বাসায় ঢুকলাম।
0,সেই লেভেলের কুত্তা https:// twitter.com/S_Alam1999/sta tus/1114167546595430400 …
0,u r ঘি & ur ex is কুত্তা আর কুত্তার পেটে ঘি হজম হয় না
0,"কোটা আন্দোলনটা কুত্তা আন্দোলন হয়ে গেছে! অতি লোভের কারনে যা হয় আর কি। গজায় তো ১ম দিকে এমনে ওমনে অনেকে আসছিল, ধীরে ধীরে মানুষ কমেছে কিন্তু কোটা আন্দোলনের কালকের কর্মসূচি ছিল মোমবাতি জ্বালানির সেখানে ২০/২৫ ছিল কিনা সন্ধেহ! শুনেছি, ১০০ মোমবাতির ৮২টা বেচে গেছে"
0,-আমারও একটা চিকন GF ছিল - কুত্তা হাড্ডি ভাইবা লইয়া গেছে
0,কিছু কিছু মানুষের Attitude দেখলে মনে হয় তারে কুত্তা দিয়ে সদাই... যে বালের বাল..!!! বাল সাল জুতার কালি... হুহ.. — feeling angry
0,"ভাই তাহলে প্রেম করে কেউ হাত ধরে হাটলেও কুত্তা হয়ে যায় না। জানি বিবাহপূর্ব প্রেম শরীআহ্তে নেই। কারন প্রেমের মাঝে খারাপ সময়ও থাকে। আর ডিজিটাল যুগে প্রেম মানেও বেহায়াপনা তবুও সমাজের মানুষ এসবের সাথে জড়িত,এর মাঝেও সত্যিকারের প্রেম থাকে। কিন্তু প্রেম না করেও আমাকে এসব শুনতে হলো!"
0,You are ঘি And your ex is কুত্তা আর কুত্তার পেটে ঘি হজম হয় না
0,"যে সব গার্লফ্রেন্ডরা নিজের বয়ফ্রেন্ড কে কুত্তা বলো, তোমরা কি এটা corporation/municipality কে জানিয়েছো??"
0,"আল্লাহ না করুক, তোমার হোগার একবার লেবার পেইন উঠলে বুঝবা।:-) সালা, আশরাফুল মাখলুকাত আর কুত্তা এক জিনিশ? মাহফিলের নামে সার্কাস শো করে এরা। https://www. facebook.com/10000454734215 2/posts/1263449523816614/ …"
1,কুত্তার বাচ্চা কুত্তা মাদ্রাসার অধ্যক্ষ মাওলানা সিরাজ উদদৌলা ও এর 4 বোরকা পরা দালালের ফাঁসি চাই। তার আগে প্রত্যেকের লিংগ কর্তন করা হোক।
1,গুরুশিষ্য সম্পর্ক পিতা সন্তানের মত। কিন্তু বাংলাদেশের কুত্তা গুরু কি করে শিষ্য কে ধর্ষন করে বা কুকর্মের প্রস্তাব করে। কুকুরদের গুলি করে মারা উচিৎ রাস্তায় জনগণের সামনে। আপনাদের মতামত কি???
0,"কিছু কিছু মানুষের নাক ডাকা দেখলে বুঝা যায় না, এরা কি ঘুমায় নাকি কুত্তা খেদায়"
0,তোদের কুত্তা বল্লে কুত্তাকে অপমান করা হবে সোসাল মিডিয়ায় হিট হওয়ার আর কিছু পেলিনা দোষ তোদের দোষ তোদের বাবা মার যে তারা ব্যস্ত থাকায় তোদের গাইড দিতে পারেনি খারাপ থেকে বাচে থাকার জন্য সুন্দর চলাফের ই যথেস্ট এই সব... https://www. facebook.com/Nicelifeforisl am/posts/2253887491366380 …
0,"৭ই এপ্রিল বিশ্ব অযুহাত দিবস! Nabi, তোর মতামত কী? Sha Jahan, তুই কোনো কথা বলবিনা কুত্তা ! Nripen স্যার,আপনি কি এখনও চট্টগ্রাম? — feeling crazy"
1,"এতো ওলা লীগ করে কিছুই হবে না ওরে পুলিশ কুকুরের হাতে দিলো কেনো? এখন কি দেশে আইন আছে??ওরে জিন্দা মারা উচিত ছিলো দেশে হুলিশ লীগ, কুত্তা লীগ,ওলা লীগ ,ডাক্তার লীগ, এরা সব একেই সুত্রে গতা"
0,"শহীদ ভগৎ সিংহ,নেতাদের নেতা বাঙালির গর্ব নেতাজি,স্বাধীনতা সংগ্রামী চন্দ্রশেখর আজাদ এবং বীর শিবাজীর ছবির সাথে ওই বিলেতি কুত্তা গোলু ""গোল_বাল_কার?"" এর থোবনা মানায় না, বিলেতি কুত্তা গোলবলকারের মুখ ওর বিলেতি দেশদ্রোহী বাপেদের জুতোর তলায় বেশি ভালো লাগে https:// twitter.com/ABVPBanga/stat us/1114485292566818818 …"
1,"মানুষ আশরাফুল মাখলুকাত, কিন্তু ইদানিং কিছু মানুষের কুত্তা , বিড়াল এর মত হতে ইচ্ছা করে। আবার ওই ছবিও আপলোড দেই!!!! — feeling angry"
0,বাঘ একাই শিকার করে আর কুত্তা করে দলবেধে
0,Sexy Girl Always Speak Sexy ' হালার পুত' কুত্তা - মাদার চুদি Ect
0,"টাকা থাকলে তোমার পিছে ঘুরবে অনেক লোক, তোমার বাড়ির কুত্তা মরলেও পালন করবে শোক,,,,"
0,"'গা ঘেঁষে দাঁড়াবেন না' টিশার্টের বদৌলতে জানলাম ছেলেরা নিজেদের বেড়াল, কুত্তা , বাঘ ইত্যাদি ভাবেন। নিজেকে অনেক জ্ঞানী জ্ঞানী মনে হচ্ছে।"
0,নিজেকে কুত্তা দিয়ে চোদা আর কি করবি বেশ্যা মাগী...
0,আমি তো দেখি ১৩৯ কমেন্ট লাইক ৩৯০ চলে রিটুইট ১১ হারি গেছে রাস্তার নষ্ট খাবার খেলে কুত্তা সেখানে যাই বেশি
0,Come and see ℳℰℕᏖᏗℒ কশাই's LIVE in #BIGOLIVE : টারগেট নিবির আমার পা চাটা কুত্তা http://www. bigo.tv/sid/2157451738 _4017316853_1554500965?c=3&p=2&t=0&b=52492143 … pic.twitter.com/gvASk6UA7d
1,"সারা বছর নিজের বাবাকে বাবা বলে ডেকে যে বাবার দুর্সময়ে পড়ের বাবাকে বাবা বলে ডাকে তারাই #কালা_ কুত্তা _রাইডার KKR er keu abar vabis na,,, তোদের কিছু বলিনি!!!!"
0,"কি দিন আসলো, মানুষ এখন কুত্তা , বিলাই নিয়াও attention seek করে। -_-"
0,প্রজাপতি বসলে বিয়ে হয় তা জানেন আর কুত্তা কামর দিলে কি হয় তা জানেন না বাটপারি
0,"পোস্ট নাম্বার ১ : ""গণি মিয়া অনেক খারাপ মানুষ"" আলালঃ একদম ঠিক বলেছেন ভাই, শালা একটা কুত্তা । ওরে জুতাপেটা করা উচিৎ। সেদিন আমার সাথেও ফাইজলামি করতে আসছে। শালাকে সেদিনই মাত্র ব্লক করে দিলাম। ৫ মিনিট পরে... পোস্ট... https://www. facebook.com/sowrd.mubarak/ posts/2584626478274162 …"
0,আমারে কে ব্লাক দিলো। সুমন কুত্তা কুই গেল। ওরে আমি কাচা কুনচি দিতা মারবো। আমি কি করলাম। আমাকে দালাল বলল কেণু
0,@sumonmd101 তুরে কুত্তা দেশি। আরবের শেখদের বিদেশি কুত্তার ধন দিয়ে তুরে চুদাই
0,ওই কুত্তা বাচ্চা। আমি কিসের দাদালি করলাম। আমি তোরে কি বলেছি বল। আজ তুই বলে জাবি এখান থেকে। আমি তোর কোন দিকে ক্ষতি করলাম
0,আমার বাড়ির চিপা গলিতে ত এখন কুত্তা বিলাই মশা আছে
0,তুমি কুত্তা হইলে আমি মুগুর হইতে রাজি https://www. facebook.com/muhai01/posts/ 2553577571373379 …
1,পশ্চিম রাজাবাজার আর ইন্দিরা রোডে যত্তোগুলা কুত্তা আছে মনে হয় পুরো ঢাকার শহরে নেই
0,শয়তান পোলাপান কুত্তা মরছে pic.twitter.com/dLKFuJQNN2
0,"আরে বিজন্মা এগুলা তুই ডাউনলোড কইরা কইরা টুইটারে আর আমার বাড়ির লোকদের দিতে আছস, কুত্তা বাচ্চা তোর কি মা বোন নাই, তুমি কি জানোস তোর বোন এর কতো খারাপ খারাপ ছবি আমার কাছে,আমি ভালো করে জানি আমার বউ খারাপ না,আমার বউ সবসময় ৫ ওয়াক্ত নামাজ পরে,,,"
0,কুত্তা ও তোদের থেকে ভালো।। কিয়ামত খুবই নিকটে চলে আসছে।।।
0,এমন একটা অবস্থা যে কুত্তা বিলাই এর ভিডিও দেখে মানুষ শান্তি পায়।
0,"আর শোন জানোয়ার, আমার বউ যদি খারাপ হইয়াও থাকে তাতো তোর সমস্যা কি তুই কুত্তা মতো আমার পিছনে লাগছস কে আর আমার সংসার ভাংগা জন্য এতো কিছু করস কেনো,এখন তো তোর সাথে কোনো সম্পর্ক নাই, আমার বউ খারাপ বা ভালো তা আমি ভালো করে জানি,"
0,"কাউয়া,,,,,,, কুত্তা ,,,,,,, আওয়ামীপন্থী,,,, আর,,,,,, ক্ষমতাপন্থী,,,। এরা সব একি জাত,,,,,,,,, https:// twitter.com/Osman__R______ _/status/1113723795183788033 …"
0,কুত্তা ইটিং ডগ এর গোস্ত ......
0,"পাশের বাড়ির সেই ন্যাকা মেয়েটা, লেড়ি কুত্তা পোষার পর, আরও ন্যাকা হয়েছে.. ফিলিংসঃ ""বাবা তোলে ন্যাও"
0,"টুইটারে অনেকেই প্রেম করে, কিন্তু আজও পারলাম না একটা প্রেম করতে,সালার কুত্তা ভাগ্য,আমার চেহারাও চতুর্ভুজ সালার,"
0,"type করুন #K যদি কুত্তা আসে,তাহলে বুঝবেন আপনি আপনার জীবনে অনেক কুত্তার দৌরানি খাবেন"
0,"অরিজিনাল মাদ্রিদ নাকি মারা খাইছে? নাহ, অ্যাসেন্সিও > মেসি বলা মাদার বক্স গুলারে খুজি। নেক্সট সুপারস্টার, উমক তুমক। আর আর বাল পাকনা ইস্কো? সব থেকে বাজে + ওভার রেটেড প্লেয়ার। আমি কুত্তা কিন্না নাম রাখমু ইস্কো।... https://www. facebook.com/10000758350104 5/posts/2209753825954046/ …"
0,"তোর মতন কুত্তা আমি আমার বাড়িতে রাখিনা তারপরও তুই গোলামী করবি যখন তখন তোর কাজ হইলো আমার খাটের পাশে বইসা বইসা আমি আর আমরা জানু কলিজার টুকরা যখন চোদাচুদি করমু তুই তা খাতায় গুনে গুনে রাখবি বুঝলি,আমার ভালো হইছে কারন আগে থেকেই খাল হয়ে আছে আমি করলে সমস্যা হবেনা"
1,"বড়লোকেরা আগে "" কুত্তা "" পালতো! আর... এখন ""সাংবাদিক"" পালে!"
0,"ওরে কুত্তা দিয়ে .........উচিত,খানকির পোলা"
1,"চিন্তা করেন একজন থানার ওসি জানেন না পুলিশ আসলে জনগনের গোলাম। জনগনের টাকা দিয়েই তাদের পোষা হয়। কিন্তু ভাব নিলেন উনারা মালিক, জনগন গোলাম। এইরকম পুলিশ অফিসার পালার চাইতে কুত্তা পালা ভালো। কুকুরের মধ্যে অন্ততঃ কৃতজ্ঞতাবোধটা থাকে।... http:// m.banglatribune.com/country/news/4 42273/%E2%80%98%E0%A6%AA%E0%A7%81%E0%A6%B2%E0%A6%BF%E0%A6%B6-%E0%A6%95%E0%A6%BF-%E0%A6%A4%E0%A7%8B%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%AA-%E0%A6%A6%E0%A6%BE%E0%A6%A6%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A6%BE-%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%BE%E0%A6%AE-%E0%A6%A1%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0 …"
1,"চিন্তা করেন একজন থানার ওসি জানেন না পুলিশ আসলে জনগনের গোলাম। জনগনের টাকা দিয়েই তাদের পোষা হয়। কিন্তু ভাব নিলেন উনারা মালিক, জনগন গোলাম। এইরকম পুলিশ অফিসার পালার চাইতে কুত্তা পালা ভালো। কুকুরের মধ্যে অন্ততঃ কৃতজ্ঞতাবোধটা থাকে। http:// m.banglatribune.com/country/news/4 42273/%E2%80%98%E0%A6%AA%E0%A7%81%E0%A6%B2%E0%A6%BF%E0%A6%B6-%E0%A6%95%E0%A6%BF-%E0%A6%A4%E0%A7%8B%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%AA-%E0%A6%A6%E0%A6%BE%E0%A6%A6%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A6%BE-%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A6%BE%E0%A6%AE-%E0%A6%A1%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0 …"
