tag,
1,আসিফ নজরুলের প‌রিবার পা‌কিস্তানপ‌ন্থি বিহারি : বিচারপতি মা‌নিক https://www. odhikar.news/politics/52062 /%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%AA%E2%80%8C%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E2%80%8C%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%AA%E2%80%8C%E0%A6%A8%E0%A7%8D%E0%A6%A5%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BF--%E0%A6%AC%E0%A6%BF%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A6%AA%E0%A6%A4%E0%A6%BF-%E0%A6%AE%E0%A6%BE%E2%80%8C%E0%A6%A8%E0%A6%BF%E0%A6%95 …
1,আসিফ নজরুলের পরিবার পাকিস্তানিপন্থী বিহারি : বিচারপতি মানিক https://www. bangladeshtoday.net/%e0%a6%86%e0%a 6%b8%e0%a6%bf%e0%a6%ab-%e0%a6%a8%e0%a6%9c%e0%a6%b0%e0%a7%81%e0%a6%b2%e0%a7%87%e0%a6%b0-%e0%a6%aa%e0%a6%b0%e0%a6%bf%e0%a6%ac%e0%a6%be%e0%a6%b0-%e0%a6%aa%e0%a6%be%e0%a6%95%e0%a6%bf/ …
1,`আসিফ নজরুল বিহারি বাবার সন্তান‍‍` https://www. gonews24.com/national/news/ 76951/%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2-%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8/%E2%80%8D%E2%80%8D …
1,"বিহারি তুই, কারণ তুই পাকি পাকি করতাছ আমি তো পাক ভারত নিয়া এত্ত ফালাফালি করতাছি না তুই যে ফলোয়ারের জন্য এসব করতাছস বুঝি আমরা ফলোয়ার পাবার জন্য ধন কাটাইছস তোরে আর কি কমু, এখন তো তুই গুয়া মারা দেস, ছে... কুত্তার লগে মারা দে গা দূরে গিয়া মর #Motherfucker #Asshole #Jerk"
1,এখন প্রমান হলো হিজড়াটা বিহারি ....তাই তো পাক-ভারত যুদ্ধ শুনে এত ভয় পাচ্ছিল। সবাই লাইন ধরে একে জুতা মারো
1,নিজের গুরুত্বপূর্ণ জিনিসটা কেটে হিজড়াটা এখন বাংলাদেশি হয়েছে আর বাকি সবাই কে বিহারি বলে গালি দিচ্ছে। গুজবে কান দিবেন না
1,আরে নটি মাগির ছেলে আমি কোন দিন ভারতের সমর্থন করছি? করি নাই। তুই একটা টুইট দেখাইতে পারবি ভারতের সাপোর্ট করা আমার? বান্দির বাচ্চা তুইতো পাকিস্তান সাপোর্ট করস বাংলাদেশ থেকে পাকিস্তান কেন সাপোর্ট করিস তুই তুইতো অরিজিনাল না বিহারি চুদাই তুই
0,"'কদম মিলকর চলনা হোগা', পাঠ্যপুস্তকে এবার বাজপেয়ীর কবিতা।এবার অষ্টম শ্রেণির ছাত্রছাত্রীরা পড়বে প্রাক্তন প্রধানমন্ত্রী অটল বিহারি বাজপেয়ীর কবিতা। আগামী শিক্ষাবর্ষ থেকে হিন্দি ভাষা বিষয়ক পাঠ্য পুস্তকে অন্তর্ভুক্ত হতে চলেছে এই কবিতা। pic.twitter.com/ETo5Z06Rmp"
0,"আমরা বলি বিহারি রা শিক্ষা তে সংস্কৃতিতে পিছিয়ে, আমরা আমাদের মত ভাবতে থাকি,ওরা যথেষ্ট এগিয়ে টপ আইএএস আইপিএস এর বেশিরভাগ ই বিহারি ,আর ওরা কতটা দেশ ভক্ত সেটা র প্রমাণ এটাও।আমাদের উচিত এই পদাঙ্ক অনুসরণ করা। https://www. facebook.com/10000185130704 1/posts/2550124831725869/ …"
0,"অর্ষার প্রেমে হাবুডুবু খাচ্ছেন সজল! - http://www. rongginn.com/%e0%a6%85%e0%a 6%b0%e0%a7%8d%e0%a6%b7%e0%a6%be%e0%a6%b0-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a7%87%e0%a6%ae%e0%a7%87-%e0%a6%b9%e0%a6%be%e0%a6%ac%e0%a7%81%e0%a6%a1%e0%a7%81%e0%a6%ac%e0%a7%81-%e0%a6%96/ … রঙিন ডেস্ক: বিহারী পল্লীর শমসেরের ছোট বোন নুসরাত। দেখতে সুন্দর, প্রাণোচ্ছ্বল একটি মেয়ে। নুসরাত শমসেরের চোখের মনি, ভালো-মন্দ যেকোনো কাজের আগে বোনকে একনজর দেখে দিন শুরু করে শমসের। বিহারি গলির হাকিম হুকুম সব শমশে... pic.twitter.com/C0Ri6pKmhL"
0,বিহারি বিফ কাবাবের রেসিপি https:// mojarranna.com/archives/17006 /%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%AB-%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%AC-5/ …
0,"1. কলকাতার রাস্তায় আর ভদ্রলোক দেখা যায়না | আমাকে ক্লাসিস্ট বলে ধিক্কার জানানোর আগে নিজের চারপাশটা খুঁটিয়ে দেখো | বিহারি , দেহাতি, লুঙ্গিয়ালা অথবা ক্যাডার, হকার, চপশিল্পী | #SaveBengalFromGoondaraj"
1,"সব দেশের উদ্বাস্তু গুলাকে কেন আমাদেরই পালতে হবে? বিহারি , রোহিঙ্গা.... তারপর কি ?? http://www. somoynews.tv/pages/details/ 145198 …"
0,রবীন্দ্রনাথ ভুল করে বিহারি লিখেছিলে এবার তো সংশোধিত হইল। https://www. facebook.com/10000018878896 2/posts/2578526145496986/ …
1,"মি: ভক্ত শুভদীপ, আমাদের বাঙ্গালে যত বিহারি এসে একজোট হয়ে বাংলা ঐতিয্য কে খারাফ করছো না, সেটা সব বাঙ্গালী ভালো ভাবেই জানে। আর হা আমাকে চামচা বলছো বলো, এটা আমি নয় আর আমার কোন রাগ ও হচ্ছে না। কিন্তু তুমি ভক্তো তাই ছেকা লাগছে।"
0,আমি বুঝতে পেরেছি যে আপনি বিহারি আর বসবাস করেন বাঙ্গালে। nice to talk u.
1,ব্রিগেড সমাবেশ: মহাজোটের মঞ্চে পরিবর্তনের ডাক দিলেন ‘ বিহারি বাবু’ https:// aajbikel.com/2019/01/shatru gan-sinha-says-mood-of-the-nation-is-parivartan-parivartan-parivartan-people-want-a-new-leadership.html … pic.twitter.com/7Cyd0mZeWZ
1,"@GargaC বলে বাংলায় অবাঙালিদের জায়গা হবে না। আজ মমতার মঞ্চে খৈনি গ্যাং, বিহারি , উত্তর প্রদেশের লোকজন এসে নেচে যাচ্ছে। গর্গ চ্যাটার্জী চুপ কেন? #UnitedAntiNationalsAtBrigade"
0,লালগড়ের ধরমপুরে মাওবাদীদের হাতে নিহত শালকু সোরেনের বৃদ্ধা মাগুরুতর অসুস্থ তাই ওনাকে ঝাড়গ্রাম জেলার সম্পাদক কমরেড ডাঃ পুলিন বিহারি বাস্কে আজ দেখে ওনার ঔষধের ব্যবস্থা করেন। @CPIM_WESTBENGAL pic.twitter.com/HmjPmhTUbZ
0,সম্প্রতি ২৫শে ডিসেম্বর সারা দেশে পালিত হলো প্রাক্তন প্রধানমন্ত্রী ভারতরত্ন অটল বিহারি বাজপেয়ীর ৯৪ তম জন্মদিবস। এই বছর ২০১৮ সালেই আমরা তাকে হারিয়েছি। আমাদের দেশে মৃত্যু সব মানুষকেই আপাত ভাবে সমালোচনার উর্ধে... https://www. facebook.com/hooghlydistric tcongress/posts/914800805376411 …
0,খবর১: বিহারি বিম্পি থেকে পদত্যাগ করছেন কষা রেজভী। খবর২: দলীয় শৃঙ্খলা ভঙ্গের দায়ে বিম্পি থেকে মওদুদকে বহিষ্কার করেছে ফকরুল। খেলা মাত্র শুরু
0,বিফ বিহারি | মজার রান্না ডট কম https:// mojarranna.com/archives/20386 /%E0%A6%AC%E0%A6%BF%E0%A6%AB-%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BF-4/ …
0,"আমি শুনেছি,, এ পি জে আব্দুল কালাম যিনি ভারতের রাষ্ট্রপতি ছিলেন,,, অটল বিহারি বাজপাই, সালমান খান থেকে রেলমন্ত্রী মজিবুল হক মন্ত্রী হয়েছিলেন,,! পুরুষরা পৃথিবীতে ১ম এসেছে,, পরের গল্পে তর্ক করতে চাই না,,, তবে,,ভাল পোস্ট হলেও শব্দ চয়নে সতর্ক হউন"
1,একজন বিহারি এসে বাংলার রাজপথে দাঁড়িয়ে হিন্দিতে বাঙালিদের লেকচার দিয়ে চলে গেল। কোনও প্রতিবাদ হবে না?
0,দেখুন: প্যাট কামিন্সের বাউন্সারে কীভাবে আউট হলেন হনুমা বিহারি https:// abpananda.abplive.in/sports/watch-p at-cummins-sends-hanuma-vihari-back-with-a-nasty-bouncer-542694 … pic.twitter.com/W2LultjfZN
0,"২৫শে ডিসেম্বর ২০১৮ #কারেন্ট_অ্যাফেয়ার্স ১) আজকের দিনটি কী কী কারণে স্মরণীয়? উত্তর- সারা বিশ্বে বড়দিন হিসাবে পালিত; - ভারতে #সুশাসন_দিবস (Good Governance Day) হিসেবে পালিত। উল্লেখ্য যে, ভারতের প্রাক্তন প্রধানমন্ত্রী অটল বিহারি বাজপেয়ির জন্মদিন হিসাবে ২৫শে ডিসেম্বর দিনটি ২… pic.twitter.com/lqCQ0Qy07R"
0,কামাল হোসেন হাফ বিহারি হাফ বাঙালি: মতিয়া চৌধুরী https:// samakal.com/politics/artic le/18121571/%E0%A6%B9%E0%A7%8B%E0%A6%B8%E0%A7%87%E0%A6%A8-%E0%A6%B9%E0%A6%B9%E0%A6%BE%E0%A6%AB-%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%B9%E0%A6%BE%E0%A6%AB-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF-%E0%A6%AE%E0%A6%A4%E0%A6%BF%E0%A7%9F%E0%A6%BE-%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80 …
0,ঋষভ পন্ত ও হনুমা বিহারি । কাল এই দুই তরুণের ব্যাটে তাকিয়ে থাকবে ভারত... https://www. prothomalo.com/sports/article /1570415/%E0%A6%9F%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F-%E0%A6%9C%E0%A6%AE%E0%A7%87-%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%80%E0%A6%B0-%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A7%87-%E0%A6%A4%E0%A7%81%E0%A6%B2%E0%A6%AC%E0%A7%87-%E0%A6%95%E0%A7%87 …
0,পান্ট- বিহারি কি 'কোহলি' হয়ে উঠতে পারবেন? https:// pavilion.com.bd/details/news/1 1399/%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A7%87-%E0%A6%9C%E0%A7%9F%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A7%81%E0%A6%AC%E0%A6%BE%E0%A6%B8-%E0%A6%AA%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A7%9F%E0%A6%BE …
0,"আমি ব্যাবসাহিক কারনে রাজাবাজারে একটা বিহারি গদিতে যাই বরাবর আমি হিন্দিতেই কথা বলতাম, আজ প্রথম আমি ওদের সাথে বাংলায় কথা বললাম এবং বলালাম এবং বুঝিয়ে দিলাম আর অন্য ভাষা নয় বাংলায় ব্যাবসা করতে হলে বাংলা তেই কথা বলতে হবে। @RajaaMajumdar @BanglaPokkho @GargaC @ali_oajed"
1,"তোরা মুসলমানের বীর্যে জন্ম নিয়েছিস। তাই ব্যবহারে বংশের পরিচয়। ভারত দেশটাই বাঙালি হিন্দুদের, মারাঠা হিন্দুদের, বিহারি হিন্দুদের, অসমিয়া হিন্দুদের। তাই ভারত তোদের দেশ নয়।"
0,কে রে এটা এত জ্যোতি বসু আর অটল বিহারি বাজপেয়ির মতো দেখতে? লোকে বলে নাকি বিজেপির সাথে সিপিএমের নাকি কোনো সম্পর্কই নেই। pic.twitter.com/r4Q5iJG9sb
0,#প্রয়াত_দাদু_মাষ্টার_বিমান_ বিহারি _বড়ুয়া ও #পরলোকগত_জ্ঞাতিবর্গের_উদ্দেশ্যে_সংঘদান_অনুষ্ঠানের_কিছু_স্হির_মুহূর্ত । — feeling special at সাতবাড়ীয়া দেওয়ানজী পাড়া https://www. facebook.com/10000988744692 3/posts/766934330312808/ …
0,"কন্যাশ্রী নিয়ে গর্ব করেন মমতা অথচ সিঙ্গুরে তাপসী মালিক বিচর পায়নি , বিচার পায়নি গাইঘাটার চার্জের সন্ন্যাসী , বিচার পায়নি মধ্যমগ্রামে দুবার ধর্ষিত বিহারি সম্প্রদায়ের মেয়েটি যাদের জন্য ছট পূজোয় দুদিন ছুটি দেন , বিচার পায়নি বীরভূমে সাওোর এর মহিলা https://www. anandabazar.com/state/mamata-b anerjee-advices-all-kanyashree-to-convince-parents-against-horrific-effects-of-bjp-1.904764?utm_source=facebook&utm_medium=social&utm_campaign=daily …"
0,on @YouTube : বিদ্যুৎ বিহারি 'র আবৃত্তি-পূর্ণেন্দু পত্রীর-সেই গল্পটা-Biddut Behari's-Purnendu Potrea-Shei Golpota https:// youtu.be/QLEzYZ6A8lk
0,"সাম্প্রদায়িকতাবাদী রাজনীতি খুব খারাপ। আপনার সঙ্গে আমি সহমত। কিন্তু এইসব বাঙালি, বিহারি , মরাঠি, গুজরাটি প্রাদেশিকতাবাদী রাজনীতি, এগুলিই বা ভালো কেন বলুন তো @abhishekaitc আমার মতে মানুষের স্রেফ দুটি ভাগ-- ক্ষমতাবান আর ক্ষমতাহীন। https:// twitter.com/ali_oajed/stat us/1066561505678757888 …"
0,এর পরেই গুজরাটে শুরু হয়েছে বিহারি খেদাও। আসল কারণটা অর্থনৈতিক। চাকরি নেই। তারপর রাজনৈতিক। মানুষের দৃষ্টি মূল ইস্যু থেকে ঘোরাও। ঘৃণার পরিবেশ তৈরি করো। না। বাঙালি প্রাণ থাকতে তা পারবে না। https:// twitter.com/ali_oajed/stat us/1063674331836940288 …
1,গয়লা বালা বুঝবেকি বাংলার মানে দিলীপ তো বিহারি
