tag,tweets
1,"পৃথিবীতে মানুষ রূপি কিছু শুয়ার আছে, যারা নিজে থেকে আনফ্রেন্ড করেও এঁটুলির মত আপনার পেছনে ফিট হয়ে থাকে.."
0,শুয়ার বনাম শুয়ার https://www. facebook.com/10000465397417 9/posts/1274445692720551/ …
1,"আগে ভাবতাম ইনি সিঙ্গার, আমি ভুল ইনি তো শুয়ার https:// zeenews.india.com/bengali/nation /pulwama-attack-sonu-nigam-attacks-secular-leaders_248000.html …"
1,"আর সহ্য নয়। এবার শুয়ার পাকিস্তানকে এমন শিক্ষা দেওয়া হোক, যুগের পর যুগ সারা পৃথিবী আতংকের সাথে স্মরণ করবে! বদলা চাই, বদলা।"
0,দিলে তো মনটা খারাপ কোরে শুয়ার
1,"মাইলস্টোন স্কুল এন্ড কলেজেও কিছু বেজম্মা শুয়ার গজাইছে। শুয়ারগুলারে মুগুর পেটা করা হোক। এইগুলার আইডি, ছবি থাকলে শেয়ার করেন https://www. facebook.com/10000129367686 9/posts/2047949755258127/ …"
1,"""চোপরাও শুয়ার !""
""পৃথিবীতে অনেক শুয়ার কা বাচ্চা পয়দা হোগা। এত শুয়ার কা বাচ্চা দরকার ছিল না। আনন্দ করতে করতে পয়দা হোগা।"
1,শুয়ার ছানাগুলোর কথা শুনলে নিগ্রাঙটা মুখে পুরে দিতে মন চায় https:// twitter.com/ctgtimes/statu s/1089849729872216064 …
0,না বুঝলে প্রতিদিন রাতে শুয়ার আগে এক গ্লাস হরলিক্স খান
1,শুয়ার দেখেন। এরা মেয়েদের পোষাকের দোষ দেবে। আবার নিজেরাই ধর্ষনের চেষ্টা করবে। এদের কথা মেয়ে রাস্তায় দেখলেই ঝাপিয়ে পড়। শুয়ার বললে শুয়ারেরও অপমান হবে। https://www. facebook.com/10000226514812 8/posts/2005279906224161/ …
1,"হরিপদ দিল্লির দালাল বাঙালি'কে কইলে, তোমাদের ২নং-পিতৃবৎ ব্রিগেড-১৯ দেখে খেপে 'শুয়ারফ্লু-১০২ জ্বর নিয়ে মালদায় এসে হাত-পা ছুঁড়ে ভাষণবাজি, 'মমতাবধ', তৎসহ ডায়েরি গায়েব হল।ডায়েরির মধ্যে শুয়ার -জ্বরের জীবাণু ছড়ালে? মালদার জনতা সংক্রমণে পটল তুললে তো আমও যাবে,ছালাও যাবে।কী যে হবে!"
1,কেহ গ্রুর মাংশ খায় না আবার কেহ শুয়ার ছুয়েও দেখে না একমাত্র নারির মাংশই আন্তর্যাতিক ... https://www. facebook.com/nadir.a.suman/ posts/10218458414040204 …
1,Xarif Ahmed Noyon SouRav DN শিখে নে শুয়ার !!! https://www. youtube.com/attribution_li nk?a=wuSPejD7Xp4&u=%2Fwatch%3Fv%3DX3ddldAXCRY%26feature%3Dshare …
1,রাইভাল যখন প্রশংসা করতে বাধ্য। কিন্ত বিডির রাইভাল আকা @JRsins7 এর মত শুয়ার ভাল হবেনা https:// twitter.com/LMKMovieManiac /status/1083124558398251008 …
1,"২৩ বলে ৮ রান,,,,, শুয়ার রিদয়,,,, আর কোনদিন তর মত খেলোয়াড়ের খেলা দেখার ইচ্ছা নাই। তরে পাইলে তাবড়াইয়া তরে খেলা শিখাইতাম,,,দলের জন্যে হইলেও ওয়ার্নার রে সুযোগ দিতে পারতে।। #SylhetSixers"
1,কুকুরের বাচ্চা কুকুর হয়। হাতির বাচ্চা হাতি। শুয়ারের বাচ্চা শুয়ার । আর বেইমানের বাচ্চা বেইমাম।
1,"এমনিতেই জ্বর তার উপর পাশের বিল্ডিংএ শুয়ার গুলা আশিক বানায়া গান সুদায়, টিভি চালু করতেই সুষ্ঠ নির্বাচনের সোদন! এদিকে আবার 2g সোদন! ম্যাসেঞ্জারে নিউ ইয়ার ম্যাসেজের সোদন - সাথে শীতের সোদন -"
1,"মালাউন কা বাচ্চা কাভি নেহি আচ্ছা জবি আচ্ছা ও ভি শুয়ার কা বাচ্চা। (রাগের ভাষা"" just... for rendia) ^j^ http://www. kalerkantho.com/online/nationa l/2018/12/30/720622 …"
1,রাত পোহালেই নির্বাচন অথচ এখনো বিএনপির নেতা কর্মীদের অনবরত গ্রেফতার করেই চলছে আম্লিকের দালালরা প্রশাসন নামের শুয়ার গুলো
1,"প্রবাসীদের জন্য উল্লেখযোগ্য কিছুই নাই কোনো দলের ইশতেহারে, লাগবেও না। শুধু এয়ারপোর্টে কিছু শুয়ার কাজ করে এদের থামাইলেই হবে।"
1,হুজুরকে গ্রেপ্তারের পিছনে শুয়ার মাসুইদ্দার হাত নেই তো??
1,"কেউ সিগারেট খায় আর কেউ না খাইয়া ভাব দেখায়,এর মানে দাড়ায় কাউয়া কোকিল হওয়ার ভাব ধরে আবে হ্লা আমার পর্যায়ে এসে তারপর ভাব ধইরো বাল সময়মত তোমার ভাব তোমার ভিতরে ভ্ররে দিয়ে আসবো শ্লা শুয়ার ডেডিকেটেড টু বাচ্চা জানোয়ার"
1,লেংটা হয়ে ভাইরাল হতে চাই বাইঞ্চুদে দেখ এবার জন্মেরমত ভাইরাল করবে তুরে বাংলার দামাল পোলারা আর কিছু পেলিনা শুয়ার
0,শুয়ার গুলা ভালো হবে কবে ? https://www. samakal.com/todays-print-e dition/tp-last-page/article/18124220/%E0%A6%9C%E0%A6%97%E0%A6%BF%E0%A6%82%E0%A7%9F%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%9C%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A7%9F%E0%A6%BE%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%8B%E0%A6%AA%E0%A6%A8-%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%AB%E0%A6%BF%E0%A6%82-%E0%A6%AB%E0%A6%BE%E0%A6%81%E0%A6%B8 …
1,এত কিছুর পরেও পাকিস্থানকে কিভাবে সমর্থন দিব? যারা বাংলাদেশে থেকে দিচ্ছে তারা কেন ১ম শ্রেনির শুয়ার না? https://www. facebook.com/10000226514812 8/posts/1946801358738683/ …
1,এই লোকদের কারনে অনেক ভালো লোক গালি খাচ্ছে এই শুয়ার টাকে রাস্তায় পেলে কাঁচা গোবর খাওয়ানো উচিন https://www. facebook.com/10000239396553 6/posts/1984021658354280/ …
1,অপেক্ষায় আমাদের প্রিয় অভিলেত্রি প্রভা! এমন কোন শুওর কি আছে এখানে যে তার সাথে দৌলদিয়া ঘাটে যাবে? কোনো শুয়ার গেলে তার সাথে যোগাযোগ করো! #পরোটা_বাবা pic.twitter.com/1SQQ1nAWK5
1,",,,,,,,,_________________ শুয়ার ঘরে আর থেকো না মনে রেখো আজ জুমাবার!! শয্যা ছেড়ে প্রস্তুতি নাও আসবে নাহয় ঠিক ঘুম আবার!!"
0,যা শুয়ার যা
1,"প্রতি মূহুর্তে মিথ্যাচার, প্রতিদিন অশ্লীল যাপনের দালাল মিডিয়া বিমান বোসের মুখের ভাষা নিয়ে প্রশ্ন তুলছে। বন্য শুয়ার আক্রমন করলে মানুষের জোড়া পায়ের লাথি তো খাবেই।"
1,দুধ ঝাকানিই (milkshake) খাইতে পারবা আর কিছুই খাইতে পারবা না শালা শুয়ার ! শুয়ারের দলেরা তার জন্য দোয়া করে যাও! #পরোটা_বাবা pic.twitter.com/ditFFNi0UU
1,শুয়ার প্রসূন গুপ্তা কতো বড়ো হুনু হোয়েছে যে পুরুষোত্তম ভগবান রাম সম্পর্কে অপমানজনক কথা বলে! https://www. facebook.com/ctvnplus/video s/203685597214567/ … https://www. facebook.com/ctvnplus/video s/377322276348228/ … https://www. facebook.com/ctvnplus/video s/1869691323143423/ …
0,শুয়ার মশা গুলা এমন বার বাড়ছে কেমনে
0,"গতদিন শুয়ার আগে তিন গ্লাস পানি খেয়ে শুইছিলাম। মাঝ রাতে দেখি কে এক শুভাকাংখী এসে বলতেছে - বাথরুমে আসছো, কাজ সেরে ফেলো। শুভাকংখীরে চিনতে পারার আগেই ঘুম ভেঙ্গে গেলো, দৌড় দিলাম বাথরুমে। আজকেও পানি খেয়ে শুইলাম, দেখি শুভাকাংখীরে আজ চিনতে পারি কি না।"
1,যারা শুয়ার টাকে বাহবা দিচ্ছেন দেখে নিন শুয়ারটার বাংলাদেশের এবং বাংলাদেশের নারীদের প্রতি কেমন অশ্রদ্ধা এবং বিদ্বেষ বিদ্যমান।তাই আমি এ বিয়ে /রিলেশন টাকে কখনোই বাংলাদেশের জন্য মঙ্গোলজজনক মনে করছি না..... কারন যার... https://www. facebook.com/nadir.a.suman/ posts/10218023745053751 …
1,"এই বেয়াদব টাকে পাথর মেরে হত্যা করা দরকার। শুয়ার পুরা দাঁড়ি,টুপি,পাঞ্জাবি লাগিয়ে পুরো আলেম সমাজ কে হেয় করেছে।"
0,"কাতার এ কাতার বাঁধো গ্রাম থেকে গ্রাম রক্তেবোনা ধানের ক্ষেত তোমার আমার। শুরু হোক নব্বানের উৎসব আজ, দারুন কোলাহলে তাড়াও ক্ষেতের শুয়ার । -------মাসুদ অরুন। pic.twitter.com/F219B9mWJ3"
1,এই শুয়ার গুলাই ইসলাম ধংস করলো ওলামলীক। http:// insaf24.com/news/104321
0,ব্যাচলরদের বিছানার চাদর শুয়ার আগে হাত দিয়ে দুইটা থাপ্পড় মারলেই পরিস্কার হয়ে যায় । ঝাঁটা মারার দরকার পড়ে না ;)
0,গুজার চিত হয়ে শুয়ার ইচ্ছে !!!!!!!!
1,"রকিব কমিশনের নেত্রীতে ৫ই জানুয়ারি কুত্তা মার্কা নির্বাচন মতো। এবার নুরুল হুদার নেত্রীতে ২৩ই ডিসেম্বর আরেকটি শুয়ার মার্কা নির্বাচন অনুষ্ঠিত হতে যাচ্ছে। কোন দল বা, কোন ভোটার আসুক।বা না আসুন নির্বাচন হয়ে যাবে pic.twitter.com/wDeAKsh38S"
0,দুইটা শুয়ার
0,শুয়াররেজ পেনাল্টি আদায় করেই ছাড়লো। শুয়ার ১৪৩ গোল
0,"আসি গো আবার কিছু দিনের জন্য ভালো থাইকো লিস্টের দাদা,দাদু, ভাইজান, শুয়ার ,জানোয়ার, কপোত-কপোতী,বিয়াইত্তা ম্যালুক এবং প্রিয় কামলা দল"
1,শুয়ার অমানুষের বাচ্চা! ওরাই প্রীতির কথা বলে আবার তাদের কাছে ভিড়লে ইজ্জতে লোল পড়ে.....এদের জুতিয়ে সিদা করা দরকার।
0,মাংসখেকো শুয়ার ! :৩ https://www. poriborton.com/chittagong/145 592?fbclid=IwAR3Z3DAaDGmk5GJte43z4ZbJZZWuvYcjMdJc2qdiWlCHX-rQGqNqAE-ksfA …
0,"ইংরেজিতে 'সন অফ আ বিচ' বহুল প্রচলিত একটি গালি। কিন্তু 'সব অফ আ কুত্তা' বা 'সন অফ আ শুয়ার '--এরকম গালি ইংরেজিতে নাই। তবে বলার অপেক্ষায় রাখে না, ওই ইংরেজি গালির আদলেই বাংলাতে 'কুত্তার বাচ্চা', 'শুয়ারের... https://www. facebook.com/mohammed.mosto fa.52643/posts/329971327819077 …"
1,"তুমি শুয়ার লেখার বিষয় পাওনা, দালালি করো।"
1,অপেক্ষা কর শুয়ার তোদের জন্য তার চেয়েও খারাপ কিছু অপেক্ষা করতেছে
0,I added a video to a @YouTube playlist http:// youtu.be/y3z3L5_VzVY?a রাতে শুয়ার সময় এক টুকরো
1,ভক্ত মুসলিম গুলো এমন position এ চলে গেছে'যে- দিদি যদি এখন তাদেরকে বলে' তোমরা এখন থেকে শুয়ার খাবে' I think সেটাও করতে তারা রাজি আছে'
0,শুয়ার bacon https://www. facebook.com/10002591307366 7/posts/237632807110487/ …
1,লাইসেন্স ছাড়া গাড়ি চালাবে আবার জনগনকে জিম্মি করে দাবি আদায়ের পায়তারা করবে। লজ্জার শেষ সীমাও এরা অতিক্রম করেছে। শুয়ার গুলোকে ধরে ধরে পিটানো দরকার। https://www. facebook.com/10000147874803 7/posts/2038745026184769/ …
0,"যে ব্যাক্তি শুয়ার আগ মশারী টানাইলো, সে যেন সংসারের বিগত সমস্ত অন্যায়ের মাপ পাবার যোগ্যতা অর্জণ করলো।"
1,সবই অপু বিশ্বাসের বাড়ার কেরামতি রে শুয়ার #পরোটা_বাবা pic.twitter.com/Hv3FdJPf6X
1,"ভারতে গরুর উৎপাদন আর পূর্ব-পশ্চিম পাকিস্তানে শুয়ারের বংশবৃদ্ধি বেশি। ভারতের গরুর বাচ্চাদের উচিত গরু খাওয়া, আর পূর্ব-পশ্চিম পাকিস্তানের শুয়ারের বাচ্চাদের উচিত শুয়ার খাওয়া। তাইলেই ব্যালান্সটা ঠিক থাকে।"
1,জুতা মাইরা বাংলা ছারা করা হবে শুয়ারের বাচ্চা শুয়ার
1,"হান্নান দাও যা বলেছেন, কম বলেছেন. এমন কুকর্ম নেই যা ঐ বীরভূমের শুয়ার করেনি."
0,Happy Birthday শুয়ার https://www. facebook.com/10001381290185 7/posts/536362696834156/ …
0,কুত্তা কতগুলা শুয়ার ।
0,হালা শুয়ার
1,অতঃপর তাহারা সমকামীতার জন্য প্রস্তুতি নিতে যাচ্ছেন রাতের ঠাপাও সার্ভিস লুফে নেয়ার জন্যেই শুয়ার গুলো মাঠে রেন্ডিয়ার সাথে ভং ধরে আছে কেউ গে হিন্দ না বলে জাবেন না #পরোটা_বাবা pic.twitter.com/EB1uqDhvFz
1,"শুয়ারের বাচ্ছা, আর বাচ্ছা শুয়ার দুইটাই সমান, সব গুলা পেঁচা শুয়ারের বাচ্ছা। https:// twitter.com/Osman__R______ _/status/1045526497690247168 …"
1,"পাকি কা বাচ্চা, কাভি নেহি আচ্ছা, জো ভি আচ্ছা, ও ভি শুয়ার কা বাচ্চI — feeling fantastic"
1,"প্রভামনি তোমাকে কিছু কথা বলি, যৌনতা আমারও শরীলে কাজ করে, আবার শুয়ারের সরিলেও কাজ করে, শুয়ার যেকোনো জায়গায়, জার তার সাথে যৌনতা করে। আর আমি কষ্ট হলেও হাতের কাছে তোমার থেকেও অসাধারণ পেলেও চাইনা। হারাম থেকে সামলে থেকো, আমাকে চিনো না তুমি, আমি ধরলে চামড়া তুলে কুকুর দিয়ে খাওয়াবো"
1,"আর আমি তোমার মাকে একবার শুয়ার দিয়া ঠাপাইতেই চাই, তোমার মতন এমন অসাধারণ শুয়ার জন্ম দেবার জন্যে।।। তোমার মার কাছে শোনো সে কি কি চায়, সে যাহা চাইবে তাকে উপহার স্বরূপ শুয়ার এর বাচ্চা উপহার দেওয়া হইবে।।।"
0,সিংহ সিংহই থাকে শুয়ার হয়না pic.twitter.com/zasy0ddxRZ
0,শান্ত তুই শুয়ার ছানা ।
0,সাফাই কবি র আপুর বমি বমি ভাব। আপুটির পেটে নতুন প্রজন্মের নতুন শুয়ার আসার লক্ষণ। #পরোটা_বাবা pic.twitter.com/ycMYJx4hpJ
1,"এইবার মর শালা শুয়ার !!! কি মনে করছিলা, এক লাইট, এক ফ্যান চালাইয়া বিল কম আসবে ভেবে লুঙ্গী উল্টাই ফ্যানের সামনে ঘুম যাবে??? সেই সুযোগ আর হবে না শালা গরিবের দল!!! https://www. jugantor.com/international/ 92614/%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%AC%E0%A6%BE%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%AB%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%B2-%E0%A6%8F%E0%A6%B2%E0%A7%8B-%E0%A7%A8-%E0%A6%B2%E0%A6%BE%E0%A6%96-%E0%A7%AF%E0%A7%AA-%E0%A6%B9%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BE …"
0,"পেঁচা শুয়ার চিনো, এরা তেমন"
1,"শুয়ারের বাচ্ছা, আর বাচ্ছা শুয়ার ২ টাই এক, সব পেঁচা শুয়ারের বাচ্ছা"
1,"ওহ এই এ্যালার্জি আমিতো ভাবলে শরীরেরটা নাকি,,যাক তারপর ও যেহেতু এসিতে থাকেন, শুয়ার আগে গলা বা শরীরে গরম কিছু মুরিয়ে রাখতে চেষ্টা করবেন"
1,এ্যাহ! শালা শুয়ার কোথাকার মানুষের বাচ্চা না প্লাস্টিক কৌটা মাদারটোস্ট https:// twitter.com/ruhul_amin01/s tatus/1036082066474119168 …
1,মসলাচিত্র! এই শুয়ার তুমি কোন মসলা থেকে এসেছ? #পরোটা_বাবা pic.twitter.com/Lja5LsCYDU
