tags,tweets
0,"‘ভিড়ের আড়ালে বুকে হাত গুরুত্বহীন শিশ্নচাপ... মাঝে মাঝে বেশ তো’। -জয়িতা ভট্টাচার্য, প্রজাপতি বিস্কুট, চৌকাঠ পত্রিকা, বইমেলা সংখ্যা, ২০১৯। এমন কবিতা লিখলে মেয়েদের বেশ্যা ছিনাল খানকি মাগী বলে পুরুষকুল হামলে পড়ে। যারা... https://www. facebook.com/1278684311/pos ts/10218578119385722/ …"
1,এই মাগী পুরো গাজীপুরের নাম খারাপ করছত খানকি কাজ করে খায়তে পারছ না। নটি।
1,মরার আগের দিন পর্যন্ত তোর মার মত তোকেও যৌনকর্মীর কাজ চালিয়ে যেতে হবে।লিখে রাখ খানকী মাগী ।।
1,"অণুগল্পঃ মাগী ১. দেখ দোস্ত, মাইয়াডার টি-শার্টে কী লেখা- গা ঘেঁষে দাঁড়াবেন না ! -মাগীরা আরো কত কিছু লিখবে ! ২. দেখ দোস্ত, মাইয়াডার টি-শার্টে কী লেখা- গা ঘেঁষে দাঁড়াবেন ! - মাগী এক নাম্বার। আরো কত কিছু লিখবে !"
1,অণুগল্পঃ মাগী ১. - দেখ দোস্ত! মাইয়াডার টি-শার্টে কী লেখা? গা ঘেঁষে দাঁড়াবেন না! - মাগীরা আরো কত কিছু লিখবে! ২. দেখ দোস্ত! মাইয়াডার টি-শার্টে কী লেখা? গা ঘেঁষে দাঁড়াবেন! - মাগী এক নাম্বার। আরো কত কিছু লিখবে!
0,"Come and see অক্ষর 's LIVE in #BIGOLIVE : লীলাবতী মাগী , আয় http://www. bigo.tv/sid/2160175125 _4163848405_1554647086?c=3&p=2&t=0&b=269660953 … pic.twitter.com/mDnaP83GGj"
0,বাবার দেনা শোধ করতে করতে কপালে পড়ছে ভাঁজ ছেলে KTM নিয়ে ঘুরে ঘুরে তৈরী হচ্ছে মাগী বাজ ©
0,jia মাগী ইমু ফাস on YomeLive https:// m.yome.live/live/5381030947 pic.twitter.com/x5nDLQeApH
1,"ওই মাগী ভাওড়া, দালালি করছ কে, তোরে কি কিছু দিছে ? তুই জানছ এডিট করছে ?"
0,"চোর কে বলে চোরি কর,,পুলিশকে বলে সজাক থাকো আমার বাসায় চোর আসবে,,, নিজেই সব খোলে দেখাইতেছ,, আবার নিজেই বলতেছ এই সব কথা বাহ বাঙ্গলী,রাত ভর এক্সেস সাতে ডলা ডলি কর,, আমি দেখলেই দোষ,,,টিক আছে তুমি ও কাপড টিক করে পরে আসো,, আমি আর দেখবো না, তুই জে রাস্তার মাগী তার প্রমাণ নিজেই দিয়ে দিল pic.twitter.com/vGA7aXDtvC"
1,নিজেকে কুত্তা দিয়ে চোদা আর কি করবি বেশ্যা মাগী ...
1,তুই যতজনের কাছে রামঠাপান খেয়েছিস তত জনের থেকে ব্লক খাবে ও..আয় মাগী তোর ফাটা ভোদা আরেকটু ফাটিয়ে দিই।
1,খানিক মাগী
0,jia মাগী ইমু ফাস on YomeLive https:// m.yome.live/live/5381030947 pic.twitter.com/70tXHKl3n4
1,কি আর কইতাম মারানীদের...!! যতো সব মেয়াদহীন মাগী ...!!
1,বাজারে র সেরা মাগী
1,বৌ মনে করে না মনে করে রেন্ডি মাগী যাচ্ছে
1,মাগী হাঠাও হিন্দু ধর্মের বাঁচাও
0,মাঝে মাঝে ইচ্ছে করে ছিড়ে ফেলি তথাকথিত সেই ভদ্রতার মুখোশ মদের বোতল দেয়ালের গায়ে ছুড়ে মেরে বলবো কাপড় তোল মাগী তোকে আজ চুদবো বাদশাহদের মতো করে!
1,জিন্স প্যান্ট পড়া মেয়ে গুলোই মাগী হয়… শিক্ষিত মাগী
0,@bin_Zaynn গুড মর্নিং খানকি মাগী
1,তোমার ভোদা টার ছবি ও দেও সিমের ছবি কি দেওয়া লাগে...তোমরা সব মাগী
1,বাংগালী জাতির কলংক ব্যাশসা মাগী
1,তিন হাজার কোটি টাকা নষ্ট করে মহা আকাশে চুদেলাইট পাটাইলি অথচ দুই তিনশো কোটি টাকা খরচ করে 20/25 টি ম্যনলিফট সিজার-লিফট কিনতে পারলি নাহ!! খানকি মাগী বহিঃবিশ্বকে দেশ পরিচিত না করে আগে জনগনের স্বাভাবিক মৃত্যু নিশ্চিত... https://www. facebook.com/10000292092845 3/posts/2109568975817113/ …
1,সালার হাসিনা মাগী তুই কবে মরবি
1,@jahirisl মানুষ আল্লাহকে সরন করছে আর কিছু মাগী পোলা আছে রাজনীতি নিয়া pic.twitter.com/0UStL6vd4k
0,কিছুদিন আগে একটা লেখা নজরে পড়লো সেখানে ভাষার বিকৃত ব্যাবহার “মাঝির ক্ষেত্রে মাগী ” আর আজকে আপনি শেয়ার করাতে নজরে পড়লো “বাসর এর ক্ষেত্রে বাঁশ”
1,দিন আসে দিন যায় মাগী গুলো মাগীই রয়ে যায়
0,তুই তো মাগী
0,"""উৎপাতে খেপে যায় বাদুর মাগী "" - Safder Haque Labib https://www. facebook.com/godfrey.shoura v/posts/2192883837467127 …"
0,খানকি মাগী
0,#দুধ দেখাইয়া ভাব চোদাও #মাগী কইলে গরম দেখাও #সাইকো_হিমু
1,"দুটো লাইকের জন্য বুকের ওড়না সরিয়ে ছবি আপলোড দেওয়া মেয়েকে ""সেক্সি"" বলে না। তাদেরকে "" মাগী "" বলে।"
1,কত্ত বড় অসভ্য চো*র জাত। তার ফ্যামিলির কুকির্তী নিয়া কেউ কথা বললে তারে ডাইকা বসে খা*কী মাগী । নারী নির্যাতনের সময় হুঁশ ছিলনা তোদের? মামলা দিয়া সবটিরে জেলের ভাত খাওয়ানো উচিত। অ্যাজহোল! তোর বাসায় বল তোরে বুয়ার সাথে... https://www. facebook.com/10000128126121 5/posts/2336138299772189/ …
1,তুই একটা মাগী
1,আরে মাগী তুই দেশে থাকিস না কেন তুই তো পাকা নাস্তিক আর তোর মতো বেশ্যাদের মুসলমান নিয়ে কথা বলার কোন অধিকার নাই
0,"মেয়ে, অন্তরে তোর মাগী হাঁসে প্রোফাইল লকে কী বা যায় আসে?"
1,তোকে যেদিন চুদবো সেদিন একটি দিবস পালন হবে মাগী
1,এই বেয়াদব খানকি মাগী নাকি রাজনীতি করবে অথচ এখনো কোন কিছু জানে না দেশের সিনিয়রদেরকে এখনো সম্মান করতে জানে না। তার দাদার বয়সী লোকদের কে নিয়ে এখনি আজে বাজে কথা বলে। তাহলে কিভাবে একজন সম্মানি রাজনিতিক হবেন? তুই মাঠে নেমে কাজ করে ভালো নেত্রী হও। এগুলা শুধু ফেসবুক আর টুইটারে
1,"এসব যে বেশ্যা মাগী , এখন জানলাম"
0,চুদা দিতে য়াস কোন মাগী
1,তুই মাগী কিছুক্ষণ পর উকি সোদাস কেন? বউটারে সময় দেয়া যায় না?
1,"সময় চলে যায়,বাল পেকে যায়,বিচি ঝুলে যায়,কিছু মাগী চিরকাল মাগীই থেকে যায়। ফ্যাক্ট.....মিথিলা ক্যামিস্ট্রি pic.twitter.com/LEOXLNeZpu"
1,এদের কাছে আ কাডটা বালা লাগে। এরা সব মাগী । https:// twitter.com/S_Alam1999/sta tus/1107604539908206592 …
1,খানকি মাগী তোর সাথে কথা বলছিনা।
0,"২ বেলা ভাতের আশা করবেন, না বুড়ি মাগী কে দেখবেন ? ভোট আপনার নির্বাচন আপনার । https://www. facebook.com/safiqul22/post s/2099812136741336 …"
